TI,PY,SO,DI,topic,topic_terms
Overcoming Resistance Mechanisms to Immune Checkpoint Inhibitors: Leveraging the Anti-Tumor Immune Response,2024,CURRENT ONCOLOGY,10.3390/curroncol31010001,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Mechanisms and therapeutic strategies for immunotherapy resistance in gastric cancer,2025,CANCER CELL INTERNATIONAL,10.1186/s12935-025-04110-4,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Immune checkpoint inhibitor-associated gastrointestinal and hepatic adverse events and their management,2019,THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,10.1177/1756284819884196,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Immune-checkpoint inhibitors induced diarrhea and colitis: a review of incidence, pathogenesis and management",2020,CURRENT OPINION IN GASTROENTEROLOGY,10.1097/MOG.0000000000000593,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Role of gut microbiome in the outcome of lymphoma patients treated with checkpoint inhibitors-The MicroLinf Study,2024,HEMATOLOGICAL ONCOLOGY,10.1002/hon.3301,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immune-checkpoint inhibitor resistance in cancer treatment: Current progress and future directions,2023,CANCER LETTERS,10.1016/j.canlet.2023.216182,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"The Tumor and Host Immune Signature, and the Gut Microbiota as Predictive Biomarkers for Immune Checkpoint Inhibitor Response in Melanoma Patients",2020,LIFE-BASEL,10.3390/life10100219,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The Gut Microbiome and Cancer Immunotherapy: Can We Use the Gut Microbiome as a Predictive Biomarker for Clinical Response in Cancer Immunotherapy?,2021,CANCERS,10.3390/cancers13194824,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Biological Biomarkers of Response and Resistance to Immune Checkpoint Inhibitors in Renal Cell Carcinoma,2023,CANCERS,10.3390/cancers15123159,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Cancer immunotherapy resistance: The impact of microbiome-derived short-chain fatty acids and other emerging metabolites,2022,LIFE SCIENCES,10.1016/j.lfs.2022.120573,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Intratumoral Microbiota in Lung Cancer: Emerging Roles in TME Modulation and Immunotherapy Response,2025,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms27010255,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Gastrointestinal Microbiome and Immune Checkpoint Inhibitors: A Review of Human Interventional Studies Among Melanoma Patients,2024,JOURNAL OF DRUGS IN DERMATOLOGY,10.36849/JDD.7674,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immunometabolism: The role of gut-derived microbial metabolites in optimising immune response during checkpoint inhibitor therapy,2025,CLINICAL AND TRANSLATIONAL MEDICINE,10.1002/ctm2.70472,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Murine fecal microbiota transfer models selectively colonize human microbes and reveal transcriptional programs associated with response to neoadjuvant checkpoint inhibitors,2022,CANCER IMMUNOLOGY IMMUNOTHERAPY,10.1007/s00262-022-03169-6,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Resistance Mechanisms of Checkpoint Inhibitors in Solid Tumors,2020,BIOMOLECULES,10.3390/biom10050666,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The Role of the Gut Microbiome in Cancer Immunotherapy: Current Knowledge and Future Directions,2023,CANCERS,10.3390/cancers15072101,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The role of immunotherapy in microsatellites stable metastatic colorectal cancer: state of the art and future perspectives,2023,FRONTIERS IN ONCOLOGY,10.3389/fonc.2023.1161048,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Unraveling the role of mucins and gut microbiota in gastrointestinal cancers chemoresistance,2025,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,10.1016/j.bbcan.2025.189385,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The role of gut microbiome in immune modulation in metastatic renal cell carcinoma,2022,THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY,10.1177/17588359221122714,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"RETRACTED: Characterization of gut microbiota in patients with primary hepatocellular carcinoma received immune checkpoint inhibitors A Chinese population-based study (Retracted article. See vol. 104, 2025)",2020,MEDICINE,10.1097/MD.0000000000021788,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Modulation of gut microbiota: a novel approach to enhancing the effects of immune checkpoint inhibitors,2023,THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY,10.1177/17588359231204854,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut microbiota as a biomarker and modulator of anti-tumor immunotherapy outcomes,2024,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2024.1471273,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Applications of artificial intelligence in cancer immunotherapy: a frontier review on enhancing treatment efficacy and safety,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1676112,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Resistance to immune checkpoint inhibitors and the tumor microenvironment,2023,EXPERIMENTAL DERMATOLOGY,10.1111/exd.14716,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Holistic Approach to Immune Checkpoint Inhibitor-Related Adverse Events,2022,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.804597,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Overcoming acquired resistance to cancer immune checkpoint therapy: potential strategies based on molecular mechanisms,2023,CELL AND BIOSCIENCE,10.1186/s13578-023-01073-9,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
A yeast-based oral therapeutic delivers immune checkpoint inhibitors to reduce intestinal tumor burden,2025,CELL CHEMICAL BIOLOGY,10.1016/j.chembiol.2024.10.013,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Vinegar intake in patients undergoing immune checkpoint inhibitor therapy: food frequency questionnaire study,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1640603,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbiota boost immunotherapy? A meta-analysis dives into fecal microbiota transplantation and immune checkpoint inhibitors,2025,BMC MEDICINE,10.1186/s12916-025-04183-y,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Impact of opioid analgesics on the efficacy of immune checkpoint inhibitors in a lung cancer population,2022,BMC PULMONARY MEDICINE,10.1186/s12890-022-02210-9,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Immune Checkpoint Inhibitor Therapy for Metastatic Melanoma: What Should We Focus on to Improve the Clinical Outcomes?,2024,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms251810120,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Intestinal Microbiota: The Driving Force behind Advances in Cancer Immunotherapy,2022,CANCERS,10.3390/cancers14194796,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Unleashing the efficacy of immune checkpoint inhibitors for advanced hepatocellular carcinoma: factors, strategies, and ongoing trials",2023,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2023.1261575,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
'Know thyself' - host factors influencing cancer response to immune checkpoint inhibitors,2022,JOURNAL OF PATHOLOGY,10.1002/path.5907,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Metabolic Factors Affecting Tumor Immunogenicity: What Is Happening at the Cellular Level?,2021,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms22042142,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Immune Checkpoint Inhibitor-Mediated Diarrhea and Colitis: A Clinical Review,2020,JCO ONCOLOGY PRACTICE,10.1200/OP.20.00002,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Microbial metabolite-driven immune reprogramming in tumor immunotherapy: mechanisms and therapeutic perspectives,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1603658,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Mechanisms of resistance to immune checkpoint inhibitors in melanoma: What we have to overcome?,2023,CANCER TREATMENT REVIEWS,10.1016/j.ctrv.2022.102499,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Insights into the Relationship Between the Gut Microbiome and Immune Checkpoint Inhibitors in Solid Tumors,2024,CANCERS,10.3390/cancers16244271,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Role of gut microbiome in cancer immunotherapy: from predictive biomarker to therapeutic target,2023,EXPERIMENTAL HEMATOLOGY & ONCOLOGY,10.1186/s40164-023-00442-x,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Advancing immune checkpoint blockade in colorectal cancer therapy with nanotechnology,2022,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.1027124,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Bifidobacterium modulation of tumor immunotherapy and its mechanism,2024,CANCER IMMUNOLOGY IMMUNOTHERAPY,10.1007/s00262-024-03665-x,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Dual contribution of the gut microbiome to immunotherapy efficacy and toxicity: supportive care implications and recommendations,2022,SUPPORTIVE CARE IN CANCER,10.1007/s00520-022-06948-0,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Impact of bowel movement condition on immune checkpoint inhibitor efficacy in patients with advanced non-small cell lung cancer,2019,THORACIC CANCER,10.1111/1759-7714.12969,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Fecal microbiota transplantation plus anti-PD-1 immunotherapy in advanced melanoma: a phase I trial,2023,NATURE MEDICINE,10.1038/s41591-023-02453-x,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immune checkpoint inhibitor resistance in hepatocellular carcinoma,2023,CANCER LETTERS,10.1016/j.canlet.2022.216038,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Immune-resistant mechanisms in cancer immunotherapy,2020,INTERNATIONAL JOURNAL OF CLINICAL ONCOLOGY,10.1007/s10147-019-01611-x,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Fecal Microbiota Transplantation in Refractory Immune-Mediated Colitis: Case Series and Review of the Literature,2025,PHARMACEUTICALS,10.3390/ph18111719,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Role of the intestinal microbiome and microbial-derived metabolites in immune checkpoint blockade immunotherapy of cancer,2021,GENOME MEDICINE,10.1186/s13073-021-00923-w,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
A Uniform Computational Approach Improved on Existing Pipelines to Reveal Microbiome Biomarkers of Nonresponse to Immune Checkpoint Inhibitors,2021,CLINICAL CANCER RESEARCH,10.1158/1078-0432.CCR-20-4834,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immunosenescence and immunecheckpoint inhibitors in non-small cell lung cancer patients: Does age really matter?,2017,CANCER TREATMENT REVIEWS,10.1016/j.ctrv.2017.08.003,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Microsatellite Instability in Colorectal Cancers: Carcinogenesis, Neo-Antigens, Immuno-Resistance and Emerging Therapies",2021,CANCERS,10.3390/cancers13123063,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
First-in-class Microbial Ecosystem Therapeutic 4 (MET4) in combination with immune checkpoint inhibitors in patients with advanced solid tumors (MET4-IO trial),2023,ANNALS OF ONCOLOGY,10.1016/j.annonc.2023.02.011,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Expanding horizons of cancer immunotherapy: hopes and hurdles,2025,FRONTIERS IN ONCOLOGY,10.3389/fonc.2025.1511560,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Immunotherapy for hepatocellular carcinoma: Recent advances and future targets,2023,PHARMACOLOGY & THERAPEUTICS,10.1016/j.pharmthera.2023.108387,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
The microbiome as a therapeutic co-driver in melanoma immuno-oncology,2025,FRONTIERS IN MEDICINE,10.3389/fmed.2025.1673880,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gut microbiota shapes cancer immunotherapy responses,2025,NPJ BIOFILMS AND MICROBIOMES,10.1038/s41522-025-00786-8,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Association of Prior Antibiotic Treatment With Survival and Response to Immune Checkpoint Inhibitor Therapy in Patients With Cancer,2019,JAMA ONCOLOGY,10.1001/jamaoncol.2019.2785,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Biomarkers for immune therapy in melanoma,2018,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,10.12788/j.sder.2018.019,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Breakthroughs in immune checkpoint therapy: overcoming NSCLC immune checkpoint therapy resistance with novel techniques,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1630940,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Immune Checkpoint Inhibitors in Thoracic Malignancies: Review of the Existing Evidence by an IASLC Expert Panel and Recommendations,2020,JOURNAL OF THORACIC ONCOLOGY,10.1016/j.jtho.2020.03.006,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Targeting PD-L2-RGMb overcomes microbiome-related immunotherapy resistance,2023,NATURE,10.1038/s41586-023-06026-3,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Mechanisms of Immune Checkpoint Inhibitor Resistance in Hepatocellular Carcinoma and Strategies for Reversal,2025,CANCERS,10.3390/cancers18010039,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
"Innovative Therapy, Monoclonal Antibodies and Beyond",2017,CYTOKINE & GROWTH FACTOR REVIEWS,10.1016/j.cytogfr.2017.10.002,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Research progress on mechanisms of tumor immune microenvironment and gastrointestinal resistance to immunotherapy: mini review,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1641518,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Antibiotic exposure windows and the efficacy of immune checkpoint blockers in patients with cancer: a meta-analysis,2021,ANNALS OF PALLIATIVE MEDICINE,10.21037/apm-20-2076,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Classic versus innovative strategies for immuno-therapy in pancreatic cancer,2025,ADVANCED DRUG DELIVERY REVIEWS,10.1016/j.addr.2025.115671,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Predictive biomarkers of colon cancer immunotherapy: Present and future,2022,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.1032314,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbiome bacterial influencers of host immunity and response to immunotherapy,2024,CELL REPORTS MEDICINE,10.1016/j.xcrm.2024.101487,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immune biomarkers of response to immune-checkpoint inhibitors in head and neck squamous cell carcinoma,2019,ANNALS OF ONCOLOGY,10.1093/annonc/mdy507,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Nutritional strategies in supporting immune checkpoint inhibitor, PI3K inhibitor, and tyrosine kinase inhibitor cancer therapies",2025,FRONTIERS IN NUTRITION,10.3389/fnut.2025.1670598,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Host-microbiota interactions in genitourinary cancer immunotherapy,2025,SEMINARS IN CANCER BIOLOGY,10.1016/j.semcancer.2025.07.005,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The gut microbiome affects response of treatments in HER2-negative advanced gastric cancer,2023,CLINICAL AND TRANSLATIONAL MEDICINE,10.1002/ctm2.1312,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Immune Checkpoint Inhibitors Combined with Oncolytic Virotherapy: Synergy, Heterogeneity, and Safety in Cancer Treatment",2025,ONCOLOGY RESEARCH,10.32604/or.2025.067824,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Treatment of NSCLC after chemoimmunotherapy - are we making headway?,2025,NATURE REVIEWS CLINICAL ONCOLOGY,10.1038/s41571-025-01061-7,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Melanoma antigens recognized by T cells and their use for immunotherapy,2023,EXPERIMENTAL DERMATOLOGY,10.1111/exd.14741,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Novel technologies in cfDNA analysis and potential utility in clinic,2021,CHINESE JOURNAL OF CANCER RESEARCH,10.21147/j.issn.1000-9604.2021.06.07,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The Role of the Lymphocyte Functional Crosstalk and Regulation in the Context of Checkpoint Inhibitor Treatment-Review,2019,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2019.02043,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
PD-1/PD-L1 Cancer Immunotherapeutics Reshape Tumor Microenvironment - Clinical Evidence and Molecular Mechanisms for AI-based Precision Medicine,2025,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,10.1007/s12016-025-09105-7,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Efficacy and safety of immune checkpoint inhibitors in post-TKI NSCLC patients harboring EGFR mutations,2023,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,10.1007/s00432-022-04176-x,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Targeting the gut and tumor microbiota in cancer,2022,NATURE MEDICINE,10.1038/s41591-022-01779-2,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Two Cases of Durable and Deep Responses to Immune Checkpoint Inhibition-Refractory Metastatic Melanoma after Addition of Camu Camu Prebiotic,2023,CURRENT ONCOLOGY,10.3390/curroncol30090570,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Elucidating the gut microbiota composition and the bioactivity of immunostimulatory commensals for the optimization of immune checkpoint inhibitors,2020,ONCOIMMUNOLOGY,10.1080/2162402X.2020.1794423,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The role of the microbiome in skin cancer development and treatment,2025,CURRENT OPINION IN ONCOLOGY,10.1097/CCO.0000000000001120,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immune checkpoint inhibitor-induced diarrhea and colitis: an overview,2024,SUPPORTIVE CARE IN CANCER,10.1007/s00520-024-08889-2,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Microbiome alteration via fecal microbiota transplantation is effective for refractory immune checkpoint inhibitor-induced colitis,2023,SCIENCE TRANSLATIONAL MEDICINE,10.1126/scitranslmed.abq4006,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Melanoma and microbiota: Current understanding and future directions,2024,CANCER CELL,10.1016/j.ccell.2023.12.003,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Interplay of gut microbiome, fatty acids, and the endocannabinoid system in regulating development, progression, immunomodulation, and chemoresistance of cancer",2022,NUTRITION,10.1016/j.nut.2022.111787,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Dynamic gut microbiota changes in patients with advanced malignancies experiencing secondary resistance to immune checkpoint inhibitors and immune-related adverse events,2023,FRONTIERS IN ONCOLOGY,10.3389/fonc.2023.1144534,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Intestinal Akkermansia muciniphila complements the efficacy of PD1 therapy in MAFLD-related hepatocellular carcinoma,2025,CELL REPORTS MEDICINE,10.1016/j.xcrm.2024.101900,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Microbiome Modulation for the Treatment of Solid Neoplasms,2025,JOURNAL OF CLINICAL ONCOLOGY,10.1200/JCO-25-00374,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
